RackID,Address,Ward,Community Area,Community Name,TotInstall,Latitude,Longitude,Historical,F12,F13,LOCATION,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards,:@computed_region_awaf_s7ux
4809,1351 W Addison St,44,6,Lake View,2,41.946949,-87.663107,1,41.946949,-87.663107,"(41.946949, -87.663107)",22,57,21186,729,25,38
6562,1300 W Loyola Ave,40,1,Rogers Park,2,42.001551,-87.663739,0,42.001551,-87.663739,"(42.001551, -87.663739)",9,10,21853,48,5,46
1283,1601 E 55th St,5,41,Hyde Park,1,41.795117,-87.585248,1,41.795117,-87.585248,"(41.795117, -87.585248)",60,8,22260,502,33,32
1566,1948 W 95th St,19,72,Beverly,1,41.721305,-87.67021,1,41.721305,-87.67021,"(41.721305, -87.67021)",59,71,22212,627,42,33
7338,1132 S Homan Ave,24,29,North Lawndale,1,41.867171,-87.710681,0,41.867171,-87.710681,"(41.867171, -87.710681)",30,30,21572,98,14,36
985,1016 N Dearborn St,42,8,Near North Side,1,41.900886,-87.630069,0,41.900886,-87.630069,"(41.900886, -87.630069)",54,37,14926,310,11,22
4088,201 W Alexander St,25,34,Armour Square,3,41.851293,-87.632258,1,41.851293,-87.632258,"(41.851293, -87.632258)",40,35,21194,3,26,8
4156,1771 W Wilson Ave,47,3,Uptown,1,41.96505,-87.67332,1,41.96505,-87.67332,"(41.96505, -87.67332)",15,31,22616,576,18,13
1205,1647 N Damen Ave,32,24,West Town,2,41.911733,-87.677311,0,41.911733,-87.677311,"(41.911733, -87.677311)",4,25,22535,438,11,16
4515,1140 W Jackson Blvd,2,28,Near West Side,1,41.877967,-87.655631,1,41.877967,-87.655631,"(41.877967, -87.655631)",44,29,14917,91,26,48
3344,146 W Madison St,42,32,Loop,2,41.882108,-87.632167,1,41.882108,-87.632167,"(41.882108, -87.632167)",41,38,14310,92,36,22
4253,1323 W Diversey Pky,32,7,Lincoln Park,2,41.932361,-87.661994,1,41.932361,-87.661994,"(41.932361, -87.661994)",16,68,21190,796,40,16
4464,1615 W Chicago Ave,1,24,West Town,2,41.89594,-87.667909,1,41.89594,-87.667909,"(41.89594, -87.667909)",4,25,21560,520,41,24
4911,1215 W Lake St,27,28,Near West Side,1,41.885359,-87.657262,1,41.885359,-87.657262,"(41.885359, -87.657262)",44,29,14917,63,46,41
6417,1800 W Fullerton Ave,32,7,Lincoln Park,1,41.925228,-87.672775,1,41.925228,-87.672775,"(41.925228, -87.672775)",16,68,21190,743,40,16
2997,1511 W Howard St,49,1,Rogers Park,2,42.019179,-87.668703,1,42.019179,-87.668703,"(42.019179, -87.668703)",9,10,21853,357,5,3
6077,1520 W Jarvis Ave,49,1,Rogers Park,1,42.016158,-87.668712,1,42.016158,-87.668712,"(42.016158, -87.668712)",9,10,21853,357,5,3
3222,209 S LaSalle St,42,32,Loop,2,41.879265,-87.63208,1,41.879265,-87.63208,"(41.879265, -87.63208)",29,38,14912,92,36,22
4131,10557 S Western Ave,19,72,Beverly,2,41.701719,-87.68128,1,41.701719,-87.68128,"(41.701719, -87.68128)",13,71,22212,609,42,33
4140,10303 S Western Ave,19,72,Beverly,1,41.706159,-87.681431,1,41.706159,-87.681431,"(41.706159, -87.681431)",13,71,22212,609,42,33
862,17 N Elizabeth St,27,28,Near West Side,1,41.88189,-87.658624,0,41.88189,-87.658624,"(41.88189, -87.658624)",44,29,14917,63,26,41
3263,2074 N Leavitt St,32,22,Logan Square,3,41.919543,-87.682764,1,41.919543,-87.682764,"(41.919543, -87.682764)",1,23,22535,324,40,16
3737,150 E Randolph St,42,32,Loop,3,41.884609,-87.623301,1,41.884609,-87.623301,"(41.884609, -87.623301)",42,38,14309,580,36,22
4877,2235 N Hamilton Ave,32,22,Logan Square,2,41.92185,-87.681263,1,41.92185,-87.681263,"(41.92185, -87.681263)",1,23,22535,178,40,16
302,230 E Ohio St,42,8,Near North Side,1,41.892715,-87.621849,0,41.892715,-87.621849,"(41.892715, -87.621849)",6,37,21182,159,36,22
3521,100 W Monroe St,42,32,Loop,2,41.88079,-87.631001,1,41.88079,-87.631001,"(41.88079, -87.631001)",34,38,14311,92,36,22
1234,1303 N Ashland Ave,1,24,West Town,1,41.9054,-87.667375,0,41.9054,-87.667375,"(41.9054, -87.667375)",49,25,21560,483,11,24
5964,143 W Burton Pl,43,8,Near North Side,1,41.908989,-87.633501,1,41.908989,-87.633501,"(41.908989, -87.633501)",54,37,14926,290,46,51
5967,1325 W Randolph St,27,28,Near West Side,2,41.883938,-87.659587,1,41.883938,-87.659587,"(41.883938, -87.659587)",44,29,14917,63,46,41
7417,1636 E 87th St,8,45,Avalon Park,1,41.737054,-87.583998,0,41.737054,-87.583998,"(41.737054, -87.583998)",25,41,21202,431,35,9
6893,225 N Columbus Dr,42,32,Loop,1,41.88601,-87.620485,0,41.88601,-87.620485,"(41.88601, -87.620485)",42,38,14309,580,36,22
5090,13330 S Baltimore Ave,10,55,Hegewisch,1,41.653037,-87.547274,1,41.653037,-87.547274,"(41.653037, -87.547274)",26,52,22250,787,47,47
6726,1530 S State St,3,33,Near South Side,2,41.861311,-87.627539,0,41.861311,-87.627539,"(41.861311, -87.627539)",35,34,14913,330,9,12
1424,1416 E 53rd St,4,41,Hyde Park,1,41.799645,-87.591103,1,41.799645,-87.591103,"(41.799645, -87.591103)",10,8,21192,500,10,1
2105,2036 N Avers Ave,30,22,Logan Square,2,41.917925,-87.723064,1,41.917925,-87.723064,"(41.917925, -87.723064)",1,23,22535,73,49,27
5406,1000 W Wellington Ave,44,6,Lake View,1,41.936331,-87.654096,1,41.936331,-87.654096,"(41.936331, -87.654096)",22,57,4449,680,25,38
4574,211 W 79th St,17,44,Chatham,1,41.750712,-87.629949,1,41.750712,-87.629949,"(41.750712, -87.629949)",59,40,21554,1,31,17
7109,1379 N Milwaukee Ave,32,24,West Town,1,41.906988,-87.671878,0,41.906988,-87.671878,"(41.906988, -87.671878)",4,25,21560,482,41,24
603,1650 W Foster Ave,40,77,Edgewater,1,41.976289,-87.670864,0,41.976289,-87.670864,"(41.976289, -87.670864)",15,76,22616,564,24,46
3258,1117 W Lawrence Ave,46,3,Uptown,2,41.968919,-87.658265,1,41.968919,-87.658265,"(41.968919, -87.658265)",15,31,22616,241,39,37
4087,1 S Wells St,42,32,Loop,2,41.881877,-87.633745,1,41.881877,-87.633745,"(41.881877, -87.633745)",34,38,14311,92,36,22
1552,1710 E 93rd St,8,48,Calumet Heights,1,41.72614,-87.5823,1,41.72614,-87.5823,"(41.72614, -87.5823)",25,44,21202,492,35,9
5498,1543 W Division St,1,24,West Town,3,41.90323,-87.666774,1,41.90323,-87.666774,"(41.90323, -87.666774)",49,25,22620,484,11,24
6899,1425 N Ashland Ave,1,24,West Town,1,41.907719,-87.667497,0,41.907719,-87.667497,"(41.907719, -87.667497)",49,25,21560,483,11,24
3397,11114 S Michigan Ave,9,49,Roseland,1,41.692158,-87.621199,1,41.692158,-87.621199,"(41.692158, -87.621199)",19,45,21861,253,43,30
6416,2119 N Clark St,43,7,Lincoln Park,1,41.920657,-87.637308,1,41.920657,-87.637308,"(41.920657, -87.637308)",16,68,21190,207,34,51
4422,180 N LaSalle St,42,32,Loop,2,41.88526,-87.632625,1,41.88526,-87.632625,"(41.88526, -87.632625)",42,38,14309,92,36,22
5946,1824 S Wood St,25,31,Lower West Side,4,41.857061,-87.671225,1,41.857061,-87.671225,"(41.857061, -87.671225)",43,33,14920,366,26,8
2625,10330 S Elizabeth St,21,73,Washington Heights,3,41.705999,-87.65381,1,41.705999,-87.65381,"(41.705999, -87.65381)",13,72,22212,595,22,18
4942,2233 S Kedzie Ave,24,30,South Lawndale,4,41.851075,-87.705045,1,41.851075,-87.705045,"(41.851075, -87.705045)",57,32,21569,261,1,36
2284,200 S Central Ave,29,25,Austin,8,41.878264,-87.764886,1,41.878264,-87.764886,"(41.878264, -87.764886)",32,26,22216,67,7,52
4368,1425 N Tripp Ave,37,23,Humboldt Park,3,41.906681,-87.732349,1,41.906681,-87.732349,"(41.906681, -87.732349)",5,24,4299,286,49,4
6082,1550 N Kingsbury St,32,8,Near North Side,1,41.909336,-87.652971,1,41.909336,-87.652971,"(41.909336, -87.652971)",49,37,22620,108,46,16
5446,120 S LaSalle St,42,32,Loop,2,41.880298,-87.632474,1,41.880298,-87.632474,"(41.880298, -87.632474)",34,38,14311,92,36,22
1499,1619 E 73rd St,8,43,South Shore,1,41.762268,-87.585356,1,41.762268,-87.585356,"(41.762268, -87.585356)",24,39,22538,419,35,9
3421,101 N Michigan Ave,42,32,Loop,2,41.883379,-87.624059,1,41.883379,-87.624059,"(41.883379, -87.624059)",41,38,14309,580,36,22
6079,2100 N Lincoln Ave,43,7,Lincoln Park,1,41.9202,-87.641706,1,41.9202,-87.641706,"(41.9202, -87.641706)",16,68,21190,745,34,51
1353,2114 W 22nd Pl,25,31,Lower West Side,1,41.851356,-87.6788,1,41.851356,-87.6788,"(41.851356, -87.6788)",43,33,14920,204,26,8
