month,day,year,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,dewPoint,humidity,moonPhase,precipIntensity,precipIntensityMax,precipProbability,pressure,sunriseTime,sunsetTime,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,uvIndex,uvIndexTime,visibility,windBearing,windGust,windGustTime,windSpeed,precipIntensityMaxTime,precipAccumulation,daylight_duration,icon_clear-day,icon_cloudy,icon_fog,icon_partly-cloudy-day,icon_partly-cloudy-night,icon_rain,precipType_None,precipType_rain,precipType_snow
2.0,6.0,2017.0,53.72,14.0,42.95,20.0,53.72,14.0,26.4,2.0,0.45,33.61,0.81,0.35,0.0,0.0,0.0,1012.3,6.966666666666667,17.216666666666665,53.72,14.0,43.14,3.0,3.0,12.0,6.43,175.0,11.2,15.0,3.12,0.0,0.0,10.249999999999998,0,0,1,0,0,0,1,0,0
2.0,7.0,2017.0,51.03,12.0,22.41,8.0,51.03,12.0,27.12,23.0,1.0,41.44,0.94,0.39,0.022,0.1013,1.0,998.22,6.95,17.25,51.03,12.0,28.75,8.0,2.0,11.0,4.1,274.0,17.36,19.0,2.85,4.0,0.0,10.3,0,0,0,0,0,1,0,1,0
2.0,8.0,2017.0,24.2,7.0,4.02,6.0,27.32,0.0,12.43,23.0,0.87,20.85,0.75,0.42,0.0,0.0,0.0,1014.14,6.933333333333334,17.266666666666666,29.18,10.0,13.46,7.0,2.0,11.0,9.35,334.0,12.54,1.0,4.81,0.0,0.0,10.333333333333332,0,0,0,1,0,0,1,0,0
2.0,9.0,2017.0,18.01,15.0,10.93,0.0,18.01,15.0,4.02,6.0,0.23,5.68,0.57,0.46,0.0,0.0,0.0,1025.36,6.9,17.283333333333335,24.31,16.0,17.45,23.0,3.0,11.0,10.0,287.0,14.29,11.0,5.11,0.0,0.0,10.383333333333335,0,0,0,0,1,0,1,0,0
2.0,10.0,2017.0,36.61,19.0,36.47,22.0,38.81,23.0,10.93,0.0,0.55,21.76,0.69,0.49,0.0,0.0,0.0,1013.8,6.883333333333333,17.316666666666666,40.64,16.0,36.9,7.0,3.0,12.0,10.0,197.0,20.51,12.0,5.83,0.0,0.0,10.433333333333334,0,0,0,1,0,0,1,0,0
2.0,11.0,2017.0,49.72,13.0,31.9,2.0,49.72,13.0,34.12,22.0,0.64,35.39,0.79,0.53,0.0,0.0,0.0,1011.62,6.866666666666667,17.333333333333332,49.72,13.0,35.93,7.0,3.0,12.0,9.12,16.0,9.74,23.0,1.17,0.0,0.0,10.466666666666665,0,0,0,1,0,0,1,0,0
2.0,12.0,2017.0,41.32,12.0,26.85,7.0,41.32,12.0,28.17,23.0,0.46,26.96,0.64,0.56,0.0,0.0,0.0,1019.56,6.85,17.35,46.97,13.0,26.85,7.0,3.0,12.0,9.79,300.0,28.15,13.0,6.58,0.0,0.0,10.500000000000002,0,0,0,1,0,0,1,0,0
2.0,13.0,2017.0,41.43,14.0,29.7,8.0,41.43,14.0,26.85,7.0,0.07,23.44,0.61,0.6,0.0,0.0,0.0,1023.46,6.816666666666666,17.366666666666667,44.46,15.0,33.54,7.0,3.0,11.0,10.0,242.0,13.54,15.0,3.47,0.0,0.0,10.55,1,0,0,0,0,0,1,0,0
2.0,14.0,2017.0,50.18,15.0,21.02,8.0,50.18,15.0,29.7,8.0,0.15,29.06,0.63,0.63,0.0,0.0,0.0,1009.45,6.8,17.4,50.18,15.0,27.52,7.0,3.0,11.0,10.0,266.0,17.6,16.0,5.69,0.0,0.0,10.599999999999998,0,0,0,0,1,0,1,0,0
2.0,15.0,2017.0,33.05,18.0,27.98,2.0,33.05,18.0,21.02,8.0,0.39,16.35,0.52,0.66,0.0,0.0,0.0,1012.49,6.783333333333333,17.416666666666668,34.37,15.0,30.46,6.0,3.0,11.0,10.0,323.0,14.21,13.0,5.05,0.0,0.0,10.633333333333335,0,0,0,0,1,0,1,0,0
